Filename,Cohort,I plan tasks carefully,I do things without thinking,I make up my mind quickly,I am happy-go-lucky,I don't pay attention,I have racing thoughts,I plan trips well ahead of time,I am self-controlled,I concentrate easily,I save regularly,I squirm at plays or lectures,I am a careful thinker,I plan for job security,I say things without thinking,I like to think about complex problems,I change jobs,I act on impulse,I get easily bored when solving thought problems,I act on the spur of the moment,I am a steady thinker,I change residences,I buy things on impulse,I can only think about one thing at a time,I change hobbies,I spend or charge more than I earn,I often have extraneous thoughts when thinking,I am interested in the present rather than the future,I am restless at the theater or lectures,I like puzzles,I am future-oriented,Sex,Age
ms_00_0002,0.0,0.48414214868152866,0.5376758091905869,0.5108071279924555,0.5096393360230083,0.46107912133037643,0.49455775912250965,0.5408028375342123,0.504568453953918,0.44200846398989,0.48328017107069454,0.551026947472099,0.5267822706242712,0.5425534224985831,0.5029248445192069,0.5635514801250178,0.5080043935585031,0.5138189988533776,0.5350874907174857,0.4706508618226356,0.5332165185291752,0.47541820195928397,0.5166915134862281,0.5446492291128672,0.5476978864672069,0.5440887108932042,0.5395810735267202,0.5477785801722627,0.5623288432087115,0.4817413765190282,0.515686364805344,Male,35
ms_00_0003,0.0,0.46290461559552626,0.539484570607585,0.5069321157599582,0.5150093318372418,0.46414045720293856,0.4843294026358093,0.5390041190177897,0.48930668906881,0.41437918159945747,0.4590296789282246,0.5532807073928316,0.5149143007868914,0.5356747990566474,0.5090952007466292,0.5661356184314635,0.49314596257857474,0.4981533970054795,0.5319012133920008,0.476656628745387,0.5182840109864213,0.4574624649818323,0.5112876482943686,0.5619585465925169,0.5340345410475381,0.5352074221601786,0.5383106903983516,0.5505034985075098,0.5546689977638518,0.46652555208824864,0.4969584433481271,Male,28
ms_00_0005,0.0,0.49767606113367174,0.5635351674879622,0.5286797555930753,0.5316896118429303,0.49392346476048327,0.5097925204883396,0.5529265466323772,0.5265937532410322,0.46233096511016375,0.49787411797119263,0.5717756059490612,0.541728780725013,0.556594951257002,0.5317969840469716,0.5756069855671329,0.5283573833344732,0.5318638264577641,0.5383102439992563,0.48623316224640367,0.5470504846427966,0.5019923200286004,0.5319292322973187,0.5619721146937413,0.5651189096577452,0.5479085650208826,0.5421064096553952,0.5521211918649485,0.5738946362159596,0.51050616883339,0.5290064369522246,Female,26
ms_00_0006,0.0,0.4747510471375301,0.5352561817884316,0.5175899625437468,0.5254760279865431,0.4734406368364834,0.501951372664092,0.5338525012669648,0.5020282441948805,0.4484541359954171,0.48447505328980967,0.5450311853275397,0.514645205095115,0.5399834038101071,0.5123746775855439,0.555451029800514,0.5103958070998014,0.5121982179359953,0.5163645417208179,0.4700763409469131,0.5202690371069422,0.48148124904326883,0.5102033534940074,0.5421935992716559,0.5453171458715415,0.5213463727114618,0.5191907367676621,0.5383897462733122,0.5507238214695064,0.49797914264243515,0.514511063294776,Female,27
ms_00_0007,0.0,0.480642067126237,0.541749328431405,0.5193182588325667,0.5197068556046219,0.4710640413437409,0.4895884155630025,0.5465325638664433,0.5058102309565969,0.43940034875416095,0.47984096489441996,0.5474283316588746,0.5294242290481824,0.5355911743222804,0.5096277523548666,0.5609964105539933,0.5092768447992566,0.5131471199097888,0.5278312598203463,0.4820186217927297,0.533215706273249,0.47712682937832385,0.5064132092968107,0.564709987828636,0.5438657435205932,0.535902210953648,0.5342479438873519,0.5534460593779058,0.5524265097697355,0.48275907303320803,0.5189972268065839,Male,27
ms_00_0008,0.0,0.487535287071109,0.544483849105916,0.5262195629933891,0.521411534952803,0.46693054068584394,0.5011566583441737,0.5500690338619318,0.5074609792441819,0.4429604925443992,0.48310224398700824,0.5574950052795578,0.5416833614853632,0.5597741027834693,0.5079122213193425,0.574325126498888,0.5068662156419979,0.5119121690449872,0.5463892504686277,0.47952128126666727,0.5495569676089227,0.4769279708062503,0.5160906035090923,0.5739189979450076,0.5498670183133705,0.5481111636258427,0.5493465021926582,0.5645267809178494,0.5782855576958376,0.4770915111633518,0.5223469497437848,Female,23
ms_00_0009,0.0,0.47000075704695043,0.5261485980009069,0.5038832743700548,0.5222375888973556,0.4363679439514513,0.48476406745831835,0.537494420723789,0.4956298384595926,0.42214931037002124,0.4765621133503515,0.5383013991472786,0.5174513220483192,0.5390054983000202,0.4923907980800289,0.5596824582430268,0.4948292067017819,0.505945608371713,0.5182917119984881,0.484295607090549,0.52531904035769,0.46732615320570653,0.4982829580547173,0.5631342844114992,0.5384216612056589,0.5289757162851682,0.5271128643581497,0.5651367453651348,0.5528610042433054,0.46007161694895043,0.5212905283082268,Male,25
ms_00_0010,0.0,0.48175122487030525,0.5441600957949998,0.5244936393272144,0.5266251616859751,0.4584633513459821,0.49080625576333703,0.5520959199180334,0.5206907923241667,0.4338489955654867,0.4737212556295186,0.5499810067216965,0.5429747691530727,0.5464044127204657,0.5066267582671788,0.5824525430187205,0.4968990855304628,0.5159538737419078,0.5393618723355266,0.4997061166913027,0.5484321047455052,0.47413325626641983,0.5023852120786532,0.582885671111954,0.5429330638200752,0.539564449832703,0.553283558446925,0.5768671968822289,0.5626856651307418,0.4709910882353172,0.5322524612002102,Female,25
ms_00_0011,0.0,0.4908905661532939,0.5487579038897316,0.5166468635336139,0.5172674959245053,0.45952422065331083,0.5024625853937864,0.5499394569799343,0.5096956466270292,0.44683728557307956,0.4876320912625919,0.5519200026247338,0.543289431400016,0.5571355703282295,0.5091971450370152,0.5923642276027972,0.510217944393718,0.5264062499194285,0.5567887441478602,0.48719857031285846,0.550589722800024,0.4811821607459113,0.5209965567783105,0.5646091135290636,0.557972494485094,0.5452210055811445,0.5584925814928186,0.5711554494175505,0.563978151419261,0.4901526954461364,0.5363201085294071,Male,30
ms_00_0012,0.0,0.48977605789134193,0.5539670813103615,0.509671537665825,0.5200471655679964,0.46324460283503,0.49316293183909793,0.5538521361790036,0.5152296581323066,0.43563330845119486,0.4857631020889996,0.561786455428846,0.5427968699145851,0.5567678967748284,0.5103812857186355,0.5879461253944885,0.5183909434295448,0.5123964923915139,0.5492906590436882,0.4742228364667672,0.5467503012324567,0.47718548412733214,0.5263382027062827,0.5672938981412318,0.562975004463175,0.56246596250443,0.5489826418195846,0.5643572282700695,0.5791162587159365,0.4900248684696844,0.5267000738329002,Female,25
